depth_from,depth_to,hole_id,rock,samp_id
25,40,WRC035,ST,
0,1,WRC036,S2,
1,2,WRC036,IN,
2,5,WRC036,SH,
5,7,WRC036,IN,
7,9,WRC036,SH,
9,16,WRC036,ST,
16,29,WRC036,MU,
29,70,WRC036,ST,
0,3,WRC037,S2,
3,150,WRC037,ST,
0,2,WRC038,S2,
2,4,WRC038,IN,
4,5,WRC038,SH,
5,9,WRC038,IN,
9,11,WRC038,SH,
11,50,WRC038,ST,
0,6,WRC039,S2,
6,50,WRC039,ST,
0,2,WRC040,S2,
2,4,WRC040,IN,
4,10,WRC040,SH,
10,28,WRC040,ST,
28,39,WRC040,QV1,
39,90,WRC040,ST,
0,6,WRC041,S2,
6,12,WRC041,SH,
12,52,WRC041,ST,
52,64,WRC041,MU,
64,100,WRC041,ST,
0,2,WRC042,S2,
2,5,WRC042,IN,
5,15,WRC042,SH,
15,85,WRC042,ST,
85,90,WRC042,MU,
0,6,WRC043,MU,
6,50,WRC043,ST,
0,5,WRC044,B,
5,100,WRC044,ST,
0,4,WRC045,S2,
4,10,WRC045,SH,
10,17,WRC045,ST,
17,22,WRC045,QV1,
22,100,WRC045,ST,
0,6,WRC046,MU,
6,50,WRC046,ST,
0,1,WRC048,S2,
1,2,WRC048,IN,
2,4,WRC048,SH,
4,7,WRC048,IN,
7,15,WRC048,SH,
15,70,WRC048,ST,
0,1,WRC049,S2,
1,2,WRC049,IN,
2,5,WRC049,SH,
5,6,WRC049,IN,
6,8,WRC049,SH,
8,40,WRC049,ST,
0,1,WRC050,S2,
1,2,WRC050,SH,
2,4,WRC050,IN,
4,15,WRC050,SH,
15,100,WRC050,ST,
0,5,WRC051,S2,
5,8,WRC051,SH,
8,15,WRC051,MU,
15,90,WRC051,ST,
0,3,WRC052,S2,
3,5,WRC052,SH,
5,9,WRC052,ST,
9,14,WRC052,QV1,
14,50,WRC052,ST,
50,60,WRC052,QV1,
60,136,WRC052,ST,
136,145,WRC052,MU,
145,150,WRC052,ST,
0,10,WRC053,S2,
10,12,WRC053,SH,
12,51,WRC053,ST,
51,77,WRC053,QV1,
77,110,WRC053,ST,
0,2,WRC054,S2,
2,3,WRC054,SH,
3,6,WRC054,ST,
6,15,WRC054,QV1,
15,110,WRC054,ST,
0,3,WRC055,S2,
3,6,WRC055,IN,
6,10,WRC055,SH,
10,32,WRC055,ST,
32,39,WRC055,QV1,
39,100,WRC055,ST,
0,2,WRC056,S2,
2,6,WRC056,IN,
6,13,WRC056,SH,
13,50,WRC056,ST,
0,7,WRC057,S2,
7,40,WRC057,ST,
0,2,WRC058,S2,
2,7,WRC058,IN,
7,13,WRC058,QV1,
13,100,WRC058,ST,
0,8,WRC059,S2,
8,20,WRC059,SH,
20,77,WRC059,ST,
77,84,WRC059,MU,
84,90,WRC059,ST,
0,10,WRC060,S2,
10,28,WRC060,SH,
28,44,WRC060,ST,
44,53,WRC060,MU,
53,70,WRC060,ST,
0,5,WRC061,S2,
5,9,WRC061,SH,
9,10,WRC061,ST,
10,15,WRC061,MU,
15,30,WRC061,ST,
0,85,WRC062,B,
85,86,WRC062,ST,
86,97,WRC062,QV1,
97,100,WRC062,ST,
0,1,WRC063,S2,
1,4,WRC063,SH,
4,15,WRC063,QV1,
15,100,WRC063,ST,
0,5,WRC065,S2,
5,7,WRC065,SH,
7,22,WRC065,ST,
22,42,WRC065,QV1,
42,100,WRC065,ST,
0,1,WRC066,S2,
1,3,WRC066,SH,
3,68,WRC066,ST,
68,81,WRC066,QV1,
81,112,WRC066,ST,
112,115,WRC066,QV1,
115,120,WRC066,ST,
0,1,WRC067,S2,
1,2,WRC067,IN,
2,4,WRC067,SH,
4,6,WRC067,IN,
6,18,WRC067,SH,
18,22,WRC067,QV1,
22,100,WRC067,ST,
0,3,WRC068,MU,
3,30,WRC068,ST,
0,5,WRC069,S2,
5,16,WRC069,SH,
16,28,WRC069,QV1,
28,117,WRC069,ST,
117,125,WRC069,MU,
125,140,WRC069,ST,
0,2,WRC070,S2,
2,3,WRC070,SH,
3,13,WRC070,ST,
13,22,WRC070,QV1,
22,43,WRC070,ST,
43,47,WRC070,QV1,
47,72,WRC070,ST,
72,76,WRC070,QV1,
76,100,WRC070,ST,
0,1,WRC071,S2,
1,3,WRC071,IN,
3,4,WRC071,SH,
4,6,WRC071,IN,
6,10,WRC071,SH,
10,16,WRC071,MU,
16,20,WRC071,ST,
0,2,WRC072,IN,
2,3,WRC072,SH,
3,7,WRC072,IN,
7,20,WRC072,SH,
20,30,WRC072,ST,
0,1,WRC073,S2,
1,2,WRC073,SH,
2,77,WRC073,ST,
77,86,WRC073,QV1,
86,130,WRC073,ST,
0,5,WRC074,B,
5,100,WRC074,ST,
0,65,WRC075,B,
65,70,WRC075,ST,
0,1,WRC076,S2,
1,3,WRC076,SH,
3,128,WRC076,ST,
128,138,WRC076,QV1,
138,150,WRC076,ST,
0,3,WRC077,S2,
3,4,WRC077,SH,
4,84,WRC077,ST,
84,104,WRC077,QV1,
104,120,WRC077,ST,
0,74,WRC078,B,
74,80,WRC078,ST,
0,5,WRC079,B,
5,138,WRC079,ST,
138,143,WRC079,QV1,
143,150,WRC079,ST,
0,98,WRC080,B,
98,150,WRC080,ST,
0,153,WRC081,B,
153,155,WRC081,ST,
155,159,WRC081,QV1,
159,170,WRC081,ST,
0,1,WRC082,B,
1,92,WRC082,ST,
92,97,WRC082,QV1,
97,120,WRC082,ST,
0,52,WRC083,B,
52,128,WRC083,ST,
128,133,WRC083,QV1,
133,150,WRC083,ST,
0,84,WRC084,B,
84,150,WRC084,ST,
0,100,WRC085,B,
100,114,WRC085,ST,
114,118,WRC085,QV1,
118,120,WRC085,ST,
0,78,WRC086,B,
78,100,WRC086,ST,
0,80,WRC087,B,
80,89,WRC087,ST,
89,100,WRC087,QV1,
100,120,WRC087,ST,
0,1,WRC088,S2,
1,3,WRC088,SH,
3,20,WRC088,ST,
0,40,WRC089,B,
40,70,WRC089,ST,
0,3,WRC090,S2,
3,5,WRC090,SH,
5,10,WRC090,ST,
10,15,WRC090,MU,
15,70,WRC090,ST,
0,51,WRC091,B,
51,100,WRC091,ST,
0,2,WRC092,S2,
2,3,WRC092,SH,
3,100,WRC092,ST,
0,2,WRC093,S2,
2,3,WRC093,SH,
3,9,WRC093,ST,
9,22,WRC093,MU,
22,100,WRC093,ST,
0,2,WRC094,S2,
2,6,WRC094,SH,
6,67,WRC094,ST,
67,101,WRC094,QV1,
101,140,WRC094,ST,
